target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001001006071,"category,bulk_sell_qty,biaya",2,"CAB-001001006071 || CAB-001001006071-DUP2-R14221","COPPER TUBE ASTM B819 TYPE L 1/4 X 0.71MM x 5.8M || COPPER TUBE ASTM B819 TYPE L 1/4 X 0.71MM x 5.8M","517 || 7","139950.00 || 116667.00",93.00,29.00,CAB-001001006071,517,139950.00,,,,,
001001028127,"category,bulk_sell_qty,biaya",2,"CAB-001001028127 || CAB-001001028127-DUP2-R14216","COPPER TUBE ASTM B819 TYPE L 1 1/8 X 1.27MM x 5.8M || COPPER TUBE ASTM B819 TYPE L 1 1/8 X 1.27MM x 5.8M","514 || 7","1116000.00 || 852228.00",74.00,4.00,CAB-001001028127,514,1116000.00,,,,,
001001035140,"category,bulk_sell_qty,biaya",2,"CAB-001001035140 || CAB-001001035140-DUP2-R14217","COPPER TUBE ASTM B819 TYPE L 1 3/8 X 1.40MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 1 3/8 X 1.40MM X 5.8M","514 || 195","1602270.00 || 1080937.00",501.00,1.00,CAB-001001035140,514,1602270.00,,,,,
001002013051,"category,bulk_sell_qty,biaya",2,"CAB-001002013051 || CAB-001002013051-DUP2-R14055","COPPER TUBE ASTM B280 1/2 X 0.51MM X 5.8M || COPPER TUBE ASTM B280 1/2 X 0.51MM X 5.8M","529 || 210","216900.00 || 0.00",461.00,40.00,CAB-001002013051,529,216900.00,,,,,
001002016071,"category,bulk_sell_qty,biaya",2,"CAB-001002016071 || CAB-001002016071-DUP2-R14116","COPPER TUBE ASTM B280 5/8 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 5/8 X 0.71MM X 5.8M","517 || 198","375750.00 || 285721.00",3.00,3.00,CAB-001002016071,517,375750.00,,,,,
001002016081,"category,bulk_sell_qty,biaya",2,"CAB-001002016081 || CAB-001002016081-DUP2-R14117","COPPER TUBE ASTM B280 5/8 X 0.81MM X 5.8M || COPPER TUBE ASTM B280 5/8 X 0.81MM X 5.8M","517 || 198","425700.00 || 347083.00",152.00,42.00,CAB-001002016081,517,425700.00,,,,,
001002019071,"category,bulk_sell_qty,biaya",2,"CAB-001002019071 || CAB-001002019071-DUP2-R14092","COPPER TUBE ASTM B280 3/4 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 3/4 X 0.71MM X 5.8M","517 || 198","454050.00 || 382324.00",8.00,6.00,CAB-001002019071,517,454050.00,,,,,
001002022061,"category,bulk_sell_qty,biaya",2,"CAB-001002022061 || CAB-001002022061-DUP2-R14130","COPPER TUBE ASTM B280 7/8 X 0.61MM X 5.8M || COPPER TUBE ASTM B280 7/8 X 0.61MM X 5.8M","517 || 198","459450.00 || 375000.00",121.00,47.00,CAB-001002022061,517,459450.00,,,,,
001002022071,"category,bulk_sell_qty,biaya",2,"CAB-001002022071 || CAB-001002022071-DUP2-R14131","COPPER TUBE ASTM B280 7/8 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 7/8 X 0.71MM X 5.8M","517 || 198","532350.00 || 381948.00",4.00,4.00,CAB-001002022071,517,532350.00,,,,,
001004009056,"category,bulk_sell_qty,biaya",2,"CAB-001004009056 || CAB-001004009056-DUP2-R14172","COPPER TUBE ASTM B280 ROL 3/8 X 0.56MM || COPPER TUBE ASTM B280 ROL 3/8 X 0.56MM","517 || 198","417600.00 || 348750.00",48.00,1.00,CAB-001004009056,517,417600.00,,,,,
001004009071,"category,bulk_sell_qty,biaya",2,"CAB-001004009071 || CAB-001004009071-DUP2-R14174","COPPER TUBE ASTM B280 ROL 3/8 X 0.71MM || COPPER TUBE ASTM B280 ROL 3/8 X 0.71MM","517 || 198","563850.00 || 484167.00",240.00,9.00,CAB-001004009071,517,563850.00,,,,,
001004009120,"category,bulk_sell_qty,biaya",2,"CAB-001004009120 || CAB-001004009120-DUP2-R14178","COPPER TUBE ASTM B280 ROL 3/8 X 1.20MM || COPPER TUBE ASTM B280 ROL 3/8 X 1.20MM","517 || 198","1128510.00 || 967917.00",6.00,7.00,CAB-001004009120,517,1128510.00,,,,,
001004016061,"category,bulk_sell_qty,biaya",2,"CAB-001004016061 || CAB-001004016061-DUP2-R14247","COPPER TUBE ROLL ASTM B280 5/8 X 0.61MM X 15MTR || COPPER TUBE ROLL ASTM B280 5/8 X 0.61MM X 15MTR","517 || 198","839700.00 || 648750.00",51.00,5.00,CAB-001004016061,517,839700.00,,,,,
001004019081,"category,bulk_sell_qty,biaya",2,"CAB-001004019081 || CAB-001004019081-DUP2-R14244","COPPER TUBE ROLL ASTM B280 3/4 X 0.81MM X 15MTR || COPPER TUBE ROLL ASTM B280 3/4 X 0.81MM X 15MTR","517 || 198","1374750.00 || 1172083.00",201.00,2.00,CAB-001004019081,517,1374750.00,,,,,
001004019120,"category,bulk_sell_qty,biaya",2,"CAB-001004019120 || CAB-001004019120-DUP2-R14245","COPPER TUBE ROLL ASTM B280 3/4 X 1.20MM X 15MTR || COPPER TUBE ROLL ASTM B280 3/4 X 1.20MM X 15MTR","517 || 198","2686950.00 || 2303750.00",21.00,1.00,CAB-001004019120,517,2686950.00,,,,,
002001000009,"category,bulk_sell_qty,biaya",2,"CAB-002001000009 || CAB-002001000009-DUP2-R13951","COPPER TEE 3/8'' || COPPER TEE 3/8","635 || 309","10200.00 || 10000.00",3357.00,227.00,CAB-002001000009,635,10200.00,,,,,
002001000013,"category,bulk_sell_qty,biaya",2,"CAB-002001000013 || CAB-002001000013-DUP2-R13936","COPPER TEE 1/2'' || COPPER TEE 1/2","635 || 309","14025.00 || 11688.00",3259.00,279.00,CAB-002001000013,635,14025.00,,,,,
002001000016,"category,bulk_sell_qty,biaya",2,"CAB-002001000016 || CAB-002001000016-DUP2-R13955","COPPER TEE 5/8'' || COPPER TEE 5/8","635 || 309","13175.00 || 10979.00",7046.00,240.00,CAB-002001000016,635,13175.00,,,,,
002001000028,"category,bulk_sell_qty,biaya",2,"CAB-002001000028 || CAB-002001000028-DUP2-R13929","COPPER TEE 1 1/8'' || COPPER TEE 1 1/8","635 || 309","44625.00 || 43750.00",481.00,143.00,CAB-002001000028,635,44625.00,,,,,
002003000032,"category,bulk_sell_qty,biaya",2,"CAB-002003000032 || CAB-002003000032-DUP2-R13682","COPPER ELBO 1 1/4'' || COPPER ELBO 1 1/4","635 || 309","37400.00 || 36667.00",4118.00,0.00,CAB-002003000032,635,37400.00,,,,,
002003000035,"category,bulk_sell_qty,biaya",2,"CAB-002003000035 || CAB-002003000035-DUP2-R13686","COPPER ELBO 1 3/8'' || COPPER ELBO 1 3/8","635 || 309","37400.00 || 31167.00",7660.00,124.00,CAB-002003000035,635,37400.00,,,,,
002003000042,"category,bulk_sell_qty,biaya",2,"CAB-002003000042 || CAB-002003000042-DUP2-R13687","COPPER ELBO 1 5/8 || COPPER ELBO 1 5/8","635 || 309","63750.00 || 62500.00",352.00,25.00,CAB-002003000042,635,63750.00,,,,,
002005000042,"category,bulk_sell_qty,biaya",2,"CAB-002005000042 || CAB-002005000042-DUP2-R13882","COPPER SOK 1 5/8&rsquo;&rsquo; || COPPER SOK 1 5/8&rsquo;&rsquo;","635 || 309","39525.00 || 38750.00",1455.00,26.00,CAB-002005000042,635,39525.00,,,,,
002013019009,"category,bulk_sell_qty,biaya",2,"CAB-002013019009 || CAB-002013019009-DUP2-R14000","COPPER TEE REDUCER 3/4 X 3/8 || COPPER TEE REDUCER 3/4 X 3/8","635 || 309","34850.00 || 0.00",6.00,6.00,CAB-002013019009,635,34850.00,,,,,
002014013015,"category,bulk_sell_qty,biaya",2,"CAB-002014013015 || CAB-002014013015-DUP2-R13916","COPPER SOK DRAT LUAR PIPA 1/2 X DRAT 1/2 || COPPER SOK DRAT LUAR PIPA 1/2 X DRAT 1/2","635 || 309","20825.00 || 17354.00",0.00,0.00,CAB-002014013015,635,20825.00,,,,,
